  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.0000   0.00633   0.00147  -0.0000   0.6080   0.6080
   1.000   0.1091   0.00639   0.00153   0.0010   0.5307   0.6859
   3.000   0.3262   0.00690   0.00200   0.0032   0.3791   0.8322
   4.000   0.4330   0.00742   0.00244   0.0047   0.3053   0.8911
   5.000   0.5371   0.00818   0.00301   0.0067   0.2354   0.9372
   6.000   0.6426   0.00916   0.00376   0.0082   0.1729   0.9692
   7.000   0.7699   0.01041   0.00473   0.0045   0.1199   0.9839
   8.000   0.9034   0.01173   0.00585  -0.0009   0.0849   0.9930
   9.000   1.0384   0.01317   0.00715  -0.0069   0.0628   0.9989
  10.000   1.1156   0.01439   0.00837  -0.0009   0.0519   1.0000
  11.000   1.1781   0.01580   0.00980   0.0078   0.0441   1.0000
  12.000   1.2433   0.01761   0.01166   0.0152   0.0384   1.0000
  13.000   1.3012   0.01972   0.01389   0.0228   0.0342   1.0000
  14.000   1.3555   0.02266   0.01700   0.0288   0.0311   1.0000
  15.000   1.3952   0.02726   0.02182   0.0336   0.0285   1.0000
  16.000   1.4220   0.03407   0.02886   0.0358   0.0264   1.0000
  17.000   1.4249   0.04483   0.03998   0.0345   0.0250   1.0000
  18.000   1.4078   0.05948   0.05500   0.0299   0.0238   1.0000
  19.000   1.3548   0.08046   0.07639   0.0213   0.0230   1.0000
  20.000   1.2783   0.10623   0.10255   0.0097   0.0222   1.0000
  21.000   1.2309   0.12884   0.12555  -0.0017   0.0216   1.0000
  22.000   1.1933   0.15082   0.14782  -0.0143   0.0207   1.0000
  23.000   1.1715   0.17068   0.16789  -0.0270   0.0198   1.0000
  24.000   1.1548   0.19025   0.18768  -0.0408   0.0188   1.0000
  25.000   1.1147   0.21722   0.21502  -0.0604   0.0176   1.0000
  27.000   0.5997   0.26392   0.26239  -0.0534   0.0116   1.0000
  28.000   0.6086   0.27708   0.27559  -0.0590   0.0102   1.0000
  29.000   0.6231   0.28576   0.28430  -0.0644   0.0094   1.0000
  30.000   0.6307   0.29956   0.29812  -0.0700   0.0080   1.0000
  31.000   0.6433   0.30802   0.30661  -0.0755   0.0074   1.0000
  32.000   0.6497   0.32217   0.32080  -0.0810   0.0063   1.0000
  33.000   0.6599   0.33063   0.32929  -0.0867   0.0057   1.0000
  34.000   0.6652   0.34480   0.34348  -0.0921   0.0048   1.0000
  35.000   0.6730   0.35337   0.35208  -0.0978   0.0043   1.0000
  36.000   0.6773   0.36688   0.36563  -0.1031   0.0038   1.0000
  37.000   0.6825   0.37599   0.37477  -0.1088   0.0031   1.0000
  38.000   0.6859   0.38620   0.38501  -0.1143   0.0029   1.0000
  39.000   0.6885   0.39776   0.39660  -0.1196   0.0022   1.0000
  40.000   0.6908   0.40469   0.40357  -0.1253   0.0020   1.0000
  41.000   0.6908   0.41776   0.41667  -0.1303   0.0016   1.0000
  42.000   0.6909   0.42542   0.42437  -0.1358   0.0013   1.0000
  43.000   0.6895   0.43326   0.43224  -0.1412   0.0012   1.0000
  44.000   0.6875   0.44373   0.44275  -0.1461   0.0008   1.0000
  45.000   0.6846   0.44930   0.44835  -0.1515   0.0006   1.0000
  46.000   0.6805   0.45807   0.45715  -0.1564   0.0005   1.0000
  47.000   0.6759   0.46508   0.46420  -0.1613   0.0003   1.0000
  48.000   0.6702   0.46848   0.46763  -0.1667   0.0002   1.0000
  49.000   0.6637   0.47668   0.47586  -0.1711   0.0002   1.0000
  50.000   0.6565   0.48098   0.48018  -0.1759   0.0000   1.0000
  51.000   0.6481   0.48211   0.48136  -0.1810   0.0000   1.0000
  52.000   0.6395   0.48900   0.48827  -0.1850   0.0000   1.0000
  53.000   0.6300   0.49074   0.49004  -0.1896   0.0000   1.0000
  55.000   0.6088   0.49479   0.49415  -0.1981   0.0001   1.0000
  56.000   0.5972   0.49414   0.49353  -0.2024   0.0002   1.0000
  58.000   0.5724   0.49388   0.49332  -0.2102   0.0003   1.0000
  59.000   0.5592   0.49104   0.49052  -0.2141   0.0005   1.0000
  61.000   0.5314   0.48642   0.48594  -0.2211   0.0007   1.0000
  62.000   0.5167   0.48154   0.48109  -0.2247   0.0010   1.0000
  64.000   0.4865   0.47281   0.47240  -0.2309   0.0014   1.0000
  65.000   0.4709   0.46610   0.46572  -0.2340   0.0018   1.0000
  67.000   0.4390   0.45373   0.45339  -0.2395   0.0022   1.0000
  68.000   0.4227   0.44519   0.44487  -0.2422   0.0028   1.0000
  70.000   0.3897   0.43003   0.42975  -0.2467   0.0034   1.0000
  71.000   0.3730   0.41989   0.41962  -0.2490   0.0040   1.0000
  72.000   0.3562   0.41060   0.41034  -0.2511   0.0043   1.0000
  73.000   0.3395   0.40264   0.40240  -0.2527   0.0049   1.0000
  74.000   0.3228   0.39104   0.39082  -0.2546   0.0056   1.0000
  75.000   0.3060   0.38249   0.38228  -0.2559   0.0058   1.0000
  76.000   0.2894   0.37245   0.37225  -0.2573   0.0068   1.0000
  77.000   0.2729   0.35956   0.35937  -0.2589   0.0073   1.0000
  78.000   0.2564   0.35220   0.35202  -0.2595   0.0080   1.0000
  79.000   0.2402   0.34031   0.34013  -0.2606   0.0090   1.0000
  80.000   0.2240   0.32994   0.32978  -0.2613   0.0093   1.0000
  81.000   0.2081   0.31996   0.31980  -0.2618   0.0107   1.0000
  82.000   0.1927   0.30692   0.30676  -0.2625   0.0113   1.0000
  83.000   0.1768   0.29896   0.29882  -0.2624   0.0123   1.0000
  84.000   0.1620   0.28673   0.28658  -0.2627   0.0135   1.0000
  85.000   0.1468   0.27742   0.27728  -0.2624   0.0141   1.0000
  86.000   0.1323   0.26618   0.26604  -0.2621   0.0158   1.0000
  87.000   0.1183   0.25472   0.25458  -0.2618   0.0164   1.0000
  88.000   0.1040   0.24598   0.24584  -0.2610   0.0182   1.0000
  89.000   0.0912   0.23324   0.23309  -0.2602   0.0191   1.0000
  90.000   0.0756   0.21551   0.21536  -0.2538   0.0208   1.0000
